Brachypodium_control01	Brachypodium_control02	Brachypodium_control03	Brachypodium_drought01	Brachypodium_drought02	Brachypodium_drought03	Brachypodium_freezing01	Brachypodium_freezing02	Brachypodium_freezing03
TRINITY_DN71002_c0_g2	-3.12086973790485	-3.12086973790485	-3.12086973790485	5.18291101027225	4.80986759965804	6.73243981749882	-2.12086973790485	-2.12086973790485	-3.12086973790485
TRINITY_DN12381_c0_g1	-3.12075049694078	0.116507273959587	-0.731183685178059	2.88285173973941	6.29556147733511	3.91926518190709	-3.12075049694078	-3.12075049694078	-3.12075049694078
TRINITY_DN124442_c0_g1	-2.41018067467512	-3.41018067467512	0.589819325324882	-1.82521817395396	-3.41018067467512	-3.41018067467512	3.92966932820951	5.15206174954595	4.79439046957409
TRINITY_DN71133_c0_g2	-1.56384912327621	-0.977872343725892	-0.809479345985153	2.13852922161185	1.91361385103472	2.28506462159661	-1.27619122938423	-1.01121802227168	-0.698597629600005
TRINITY_DN78749_c3_g2	-5.74960017421718	-3.3065240228545	-2.76774752092744	2.35053649706827	2.34882675298453	2.51343423161662	3.83691314125923	2.70613801177622	-1.93197691670574
TRINITY_DN22819_c0_g2	0.291303892958691	0.550801751227594	2.15336092902376	-5.51140632633265	-5.51140632633265	-4.51140632633265	3.49447081272011	4.45240011098843	4.59188148207937
TRINITY_DN72314_c1_g1	0.716836505531043	1.33519673728327	0.0149207865854972	1.41795116112413	1.11161787704986	2.38936024571407	-2.30754987137371	-2.43548925992829	-2.24284418198589
TRINITY_DN66863_c3_g7	-0.9754718223066	-0.588100140381139	-0.604830639331878	2.68630537539111	2.36773707245872	2.72425708761401	-0.780799820016849	-2.1793748434703	-2.64972226995708
