Brachypodium_control01	Brachypodium_control02	Brachypodium_control03	Brachypodium_drought01	Brachypodium_drought02	Brachypodium_drought03	Brachypodium_freezing01	Brachypodium_freezing02	Brachypodium_freezing03
Brachypodium_control01	1	0.96130129162607	0.963767557920247	0.603150250844165	0.515756889652397	0.582985940662575	0.645812387217099	0.611871832749225	0.739156170542025
Brachypodium_control02	0.96130129162607	1	0.943291552286118	0.674123131342382	0.644884168028513	0.669813184059063	0.611044874181898	0.548289817832151	0.634175577437376
Brachypodium_control03	0.963767557920247	0.943291552286118	1	0.517789385667474	0.435691115651236	0.472118781217875	0.774526686648277	0.751997200265123	0.847201101194315
Brachypodium_drought01	0.603150250844165	0.674123131342382	0.517789385667474	1	0.966771255046223	0.985627442809429	0.350070710809844	0.207139431061211	0.137835180204574
Brachypodium_drought02	0.515756889652397	0.644884168028513	0.435691115651236	0.966771255046223	1	0.974793804826846	0.204164502521776	0.0507397170925167	-0.0127484881360578
Brachypodium_drought03	0.582985940662575	0.669813184059063	0.472118781217875	0.985627442809429	0.974793804826846	1	0.264086435604777	0.116666664517012	0.0536319157718979
Brachypodium_freezing01	0.645812387217099	0.611044874181898	0.774526686648277	0.350070710809844	0.204164502521776	0.264086435604777	1	0.980919491591111	0.8755624950039
Brachypodium_freezing02	0.611871832749225	0.548289817832151	0.751997200265123	0.207139431061211	0.0507397170925167	0.116666664517012	0.980919491591111	1	0.930626498861444
Brachypodium_freezing03	0.739156170542025	0.634175577437376	0.847201101194315	0.137835180204574	-0.0127484881360578	0.0536319157718979	0.8755624950039	0.930626498861444	1
