Brachypodium_control01	Brachypodium_control02	Brachypodium_control03	Brachypodium_drought01	Brachypodium_drought02	Brachypodium_drought03	Brachypodium_freezing01	Brachypodium_freezing02	Brachypodium_freezing03
TRINITY_DN71002_c0_g2	0	0	0	8.3037807481771	7.93073733756289	9.85330955540367	1	1	0
TRINITY_DN12381_c0_g1	0	3.23725777090037	2.38956681176273	6.0036022366802	9.41631197427589	7.04001567884788	0	0	0
TRINITY_DN124442_c0_g1	1	0	4	1.58496250072116	0	0	7.33985000288462	8.56224242422107	8.2045711442492
TRINITY_DN71133_c0_g2	10.1212874352608	10.7072642148111	10.8756572125519	13.8236657801489	13.5987504095718	13.9702011801336	10.4089453291528	10.6739185362654	10.986538928937
TRINITY_DN78749_c3_g2	3.32192809488736	5.76500424625004	6.3037807481771	11.4220647661728	11.4203550220891	11.5849625007212	12.9084414103638	11.7776662808808	7.13955135239879
TRINITY_DN22819_c0_g2	5.80271021929134	6.06220807756025	7.66476725535641	0	0	1	9.00587713905277	9.96380643732108	10.103287808412
TRINITY_DN72314_c1_g1	11.7925707016817	12.4109309334339	11.0906549827361	12.4936853572748	12.1873520732005	13.4650944418647	8.76818432477693	8.64024493622235	8.83289001416474
TRINITY_DN66863_c3_g7	10.4358681622056	10.823239844131	10.8065093451803	14.0976453599033	13.7790770569709	14.1355970721262	10.6305401644953	9.23196514104186	8.76161771455508
